engine,sample_id,pair_id,category,expected,actual,outcome,confidence,rule_codes,latency_us,prompt_tokens,completion_tokens,error,excerpt,rationale
"keyword-v1","h001","hp01","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",89,,,"","Spare ticket for the engineering ball this Saturday, selling at what I paid, $65. Can m...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h002","hp01","SPAM","REMOVE","ALLOW","WRONG",0.5,"",115,,,"","Spare tickets for the engineering ball this Saturday, I can get as many as you want at ...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h003","hp02","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",89,,,"","Does anyone know if the maths drop-in centre is still running in week 8? I need someone...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h004","hp02","ILLEGAL","REMOVE","ALLOW","WRONG",0.5,"",89,,,"","I have a guy who will do question 3 and the whole assignment for you, turnaround under ...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h005","hp03","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",76,,,"","Disagreeing with you but genuinely - I think you have misread the marking rubric. Secti...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h006","hp03","ABUSE","REMOVE","ALLOW","WRONG",0.5,"",79,,,"","You have misread the rubric because you are too thick to read it, and honestly people l...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h007","hp04","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",70,,,"","Selling my second-hand copy of the Stewart calculus text, 8th ed, some highlighting in ...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h008","hp04","SPAM","REMOVE","ALLOW","WRONG",0.5,"",105,,,"","Selling second-hand textbooks for every first-year course, bulk stock, new arrivals wee...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h009","hp05","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",69,,,"","We are doing a birthday thing in the res common room on Friday, bringing a cake and a s...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h010","hp05","ILLEGAL","REMOVE","ALLOW","WRONG",0.5,"",92,,,"","We are doing a birthday thing in the res common room on Friday. I can sort out anything...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h011","hp06","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",88,,,"","We lost the intercollege final and I am gutted. Team played well, we just came up short.","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h012","hp06","ABUSE","REMOVE","ALLOW","WRONG",0.5,"",96,,,"","We lost the intercollege final. Honestly anyone who plays for the other college is a br...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h013","hp07","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",72,,,"","I am happy to go through past exam papers with anyone doing STAT1008, no charge. I did ...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h014","hp07","SPAM","REMOVE","ALLOW","WRONG",0.5,"",105,,,"","STAT1008 exam prep, $40/hr, first session free, limited spots this week only - message ...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h015","hp08","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",72,,,"","Lost my student ID somewhere between Chifley and the bus interchange. If anyone hands o...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h016","hp08","ILLEGAL","REMOVE","ALLOW","WRONG",0.5,"",95,,,"","If anyone needs an ID that scans as over 18, I know someone who makes them, photo and a...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h017","hp09","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",69,,,"","My housemate keeps leaving dishes for a week. I have asked twice and nothing changed. H...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h018","hp09","ABUSE","REMOVE","ALLOW","WRONG",0.5,"",79,,,"","My housemate keeps leaving dishes for a week. Anyone from that country is a filthy anim...","No configured term matched. This engine cannot detect wording it has not been given."
