engine,sample_id,pair_id,category,expected,actual,outcome,confidence,rule_codes,latency_us,prompt_tokens,completion_tokens,error,excerpt,rationale
"keyword-v1","h001","hp01","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",134,,,"","Spare ticket for the engineering ball this Saturday, selling at what I paid, $65. Can m...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h002","hp01","SPAM","REMOVE","ALLOW","WRONG",0.5,"",180,,,"","Spare tickets for the engineering ball this Saturday, I can get as many as you want at ...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h003","hp02","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",146,,,"","Does anyone know if the maths drop-in centre is still running in week 8? I need someone...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h004","hp02","ILLEGAL","REMOVE","ALLOW","WRONG",0.5,"",158,,,"","I have a guy who will do question 3 and the whole assignment for you, turnaround under ...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h005","hp03","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",135,,,"","Disagreeing with you but genuinely - I think you have misread the marking rubric. Secti...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h006","hp03","ABUSE","REMOVE","ALLOW","WRONG",0.5,"",137,,,"","You have misread the rubric because you are too thick to read it, and honestly people l...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h007","hp04","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",137,,,"","Selling my second-hand copy of the Stewart calculus text, 8th ed, some highlighting in ...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h008","hp04","SPAM","REMOVE","ALLOW","WRONG",0.5,"",184,,,"","Selling second-hand textbooks for every first-year course, bulk stock, new arrivals wee...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h009","hp05","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",124,,,"","We are doing a birthday thing in the res common room on Friday, bringing a cake and a s...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h010","hp05","ILLEGAL","REMOVE","ALLOW","WRONG",0.5,"",152,,,"","We are doing a birthday thing in the res common room on Friday. I can sort out anything...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h011","hp06","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",105,,,"","We lost the intercollege final and I am gutted. Team played well, we just came up short.","No configured term matched. This engine cannot detect wording it has not been given."
